"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8415","Login Test with JSON Data: Valid login @datadriven","chromium","2026-08-15","passed","2026-08-15","","LoginDataDriven.spec.ts","",""
"","5808","User logout test @master @regression","chromium","2026-07-16","passed","2026-07-16","","Logout.spec.ts","",""
"","10558","Account registration test","chromium","2026-07-01","passed","2026-07-01","","AccountRegistration.spec.ts","",""
"","3015","Add Product to cart test @master @regression","chromium","2026-07-16","passed","2026-07-16","","AddToCart.spec.ts","",""
"","9112","User login test","chromium","2026-07-02","passed","2026-07-02","","Login.spec.ts","",""
"","2852","User login test @master @sanity @regression","chromium","2026-08-15","passed","2026-08-15","","Login.spec.ts","",""
"","3415","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-08-15","passed","2026-08-15","","LoginDataDriven.spec.ts","",""
"","3229","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-08-15","passed","2026-08-15","","LoginDataDriven.spec.ts","",""
"","9255","Account registration test @master @sanity @regression","chromium","2026-08-15","passed","2026-08-15","","AccountRegistration.spec.ts","",""
"","23109","Execute end to end test flow @end-to-end","chromium","2026-08-15","passed","2026-08-15","","EndToEndTest.spec.ts","",""
"","2340","Product search test @master @regression","chromium","2026-07-16","passed","2026-07-16","","SearchProduct.spec.ts","",""
"","3633","Login Test with CSV Data: Valid login @datadriven","chromium","2026-08-15","passed","2026-08-15","","LoginDataDriven.spec.ts","",""
